OTUID,Domain,Phylum,Class,Order,Family,Genus,Species
OTU1569,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,DQ490355_g,
OTU1568,Bacteria,Actinobacteria,Actinobacteria_c,Micrococcales,Micrococcaceae,,
OTU1561,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,DQ906072_g,
OTU1560,Unassigned,,,,,,
OTU1563,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Tepidisphaeraceae,Tepidisphaera,
OTU1562,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizomicrobium_f,Rhizomicrobium,
OTU1565,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,
OTU1564,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodoplanes,
OTU1567,Bacteria,Chloroflexi,FR749824_c,FJ625377_o,FJ625377_f,FJ625377_g,FJ625377_s
OTU1566,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,,
OTU927,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,DQ906072_g,
OTU926,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Solibacter,
OTU664,Bacteria,Kazan,CP011216_c,AM991231_o,AM991231_f,,
OTU665,Bacteria,Actinobacteria,Actinobacteria_c,Micrococcales,Microbacteriaceae,,
OTU1189,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Tepidisphaeraceae,Tepidisphaera,
OTU1188,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,,
OTU1187,Bacteria,Chloroflexi,FR749824_c,FR749824_o,FR749824_f,FR749824_g,
OTU1186,Bacteria,Actinobacteria,Actinobacteria_c,Streptosporangiales,AF498716_f,EU861937_g,
OTU1185,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,HM748676_g,
OTU1184,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,
OTU1183,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,FJ479101_g,
OTU1182,Unassigned,,,,,,
OTU1181,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,JF833881_g,
