OTUID,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C12,C2,C3,C4,C5,C6,C7,C8,C9,UB1,UB10,UB11,UB12,UB2,UB3,UB4,UB5,UB6,UB7,UB8,UB9
OTU1,14,7,6,6,8,3,10,7,11,7,9,9,14,5,8,10,15,11,5,9,15,5,8,3,66,548,378,843,45,27,17,522,69,169,725,2087
OTU10,24,15,12,6,42,12,10,9,15,11,6,5,44,8,18,10,20,9,7,8,17,6,8,6,153,188,138,1158,92,316,24,62,49,114,116,937
OTU100,20,39,13,32,3,28,9,8,24,64,12,31,74,82,92,149,48,316,41,27,46,134,70,88,4,1,5,6,5,1,0,10,3,4,6,6
OTU1000,0,7,0,9,11,2,2,0,0,3,2,4,0,1,1,4,3,5,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
OTU1001,0,0,0,0,7,0,1,1,5,0,0,1,0,0,0,0,1,0,1,0,4,0,0,1,2,0,0,1,0,4,0,0,0,0,1,0
OTU1002,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
OTU1003,9,4,1,3,16,3,5,8,9,4,0,9,2,0,1,0,4,1,1,1,0,1,1,2,6,4,1,6,4,2,2,4,2,1,2,0
OTU1004,0,0,0,0,2,0,1,4,2,0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1005,4,1,0,1,33,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU1006,0,0,0,11,17,0,4,12,2,1,0,14,3,1,2,4,2,5,2,1,0,4,0,7,0,0,1,0,0,2,0,0,0,0,0,0
OTU1007,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1008,1,1,2,3,10,2,5,6,2,1,1,1,0,0,4,3,1,2,0,0,0,0,0,0,3,0,0,0,0,1,7,1,0,7,0,0
OTU1009,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU101,4,3,4,4,9,5,3,6,0,5,5,5,5,300,13,2,10,9,3,0,6,724,2,12,3,3,3,10,3,4,0,2,3,2,4,6
OTU1010,3,2,0,1,106,0,29,72,39,1,2,6,15,0,4,1,29,1,3,0,2,2,0,19,1,0,2,1,3,1,4,0,1,2,0,0
OTU1011,0,2,5,4,55,2,22,39,28,2,1,13,3,5,26,4,23,5,13,12,3,5,6,8,24,62,15,34,4,6,25,2,20,3,1,7
OTU1012,0,1,0,0,45,0,0,0,2,0,1,1,0,0,0,0,3,0,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0
OTU1013,9,2,0,4,110,1,5,20,14,0,1,1,8,0,4,0,5,0,2,0,2,1,0,3,75,4,2,2,16,12,9,9,7,10,2,1
OTU1014,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
OTU1015,45,97,26,80,395,102,44,75,37,128,18,209,77,22,51,57,34,45,29,13,11,74,29,87,63,21,6,13,8,26,12,13,25,35,7,15
OTU1016,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1017,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
OTU1018,0,0,0,0,3,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,3,1,0,0,3,7,0,11,0,5,0,7,4,10,3,10
OTU1019,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU102,1,0,0,0,6,9,0,1,0,2,28,91,4,3,5,5,2,20,0,1,0,0,46,176,1,1,0,0,0,1,0,0,0,0,0,0
OTU1020,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1021,5,1,0,2,32,0,2,3,2,0,0,4,11,5,3,3,15,2,0,1,1,9,0,6,6,22,4,9,4,14,6,10,17,7,11,6
