Phylum (>1% in at least one group),Nitrospirae,Acidobacteria,Actinobacteria,Bacteroidetes,Chloroflexi,Cyanobacteria,Firmicutes,Gemmatimonadetes,Planctomycetes,Proteobacteria,Streptophyta,Other
Unburnt1,450,4657,1619,549,1018,192,902,188,1634,7867,49,875
Unburnt2,2,5225,1722,395,1442,457,95,94,2191,7413,25,939
Unburnt3,388,4479,1957,719,881,213,806,237,1598,7697,45,980
Unburnt4,0,5808,3144,357,113,344,63,75,1346,8187,15,548
Unburnt5,2,6659,2418,410,83,305,58,66,1322,8250,3,424
Unburnt6,0,7521,3063,304,38,309,50,40,1513,6864,16,282
Unburnt7,3,7746,2202,322,64,286,26,74,1666,7277,16,318
Unburnt8,1,5137,4497,250,232,321,32,84,1663,7196,87,500
Unburnt9,0,8539,3027,159,19,351,53,65,1706,5820,7,254
Unburnt10,0,7333,2291,257,188,482,20,81,1597,7319,38,394
Unburnt11,1,6840,3857,162,47,420,41,81,1900,6358,31,262
Unburnt12,0,9373,856,221,74,252,35,17,1831,7056,5,280
BCU1_2,62,3648,2163,862,560,199,446,221,1303,9106,139,1291
BCU1_3,117,2090,3923,1576,501,112,132,344,969,8687,282,1267
BCU2_1,29,1230,5763,958,531,501,116,263,714,6486,1532,1877
BCU2_2,347,1456,4168,1047,875,78,499,211,897,9359,124,939
BCU3_1,488,1590,4339,1326,723,506,70,345,1007,7826,238,1542
BCU3_3,96,3718,2177,821,1128,239,640,185,1157,8373,445,1021
BCU4_1,80,2095,2667,1240,972,180,499,314,1298,8685,707,1263
BCU4_2,76,4085,2288,1048,477,451,275,127,1302,9127,40,704
BCU4_3,1149,4443,1290,641,768,518,465,34,1181,7835,33,1643
BCW1_1,176,2724,1918,1477,332,492,323,263,1396,6733,2289,1877
BCW1_2,213,2770,1574,1339,413,85,502,341,1369,9997,121,1276
BCW1_3,291,2429,3003,1216,494,144,208,379,1206,8625,350,1655
BCW2_1,5,630,3971,931,325,1739,65,242,563,5389,4512,1628
BCW2_2,958,3070,2914,1642,851,134,518,226,1092,7496,32,1067
BCW2_3,250,2789,3076,1348,793,151,330,345,1339,7466,706,1407
BCW3_1,1135,1291,2596,1574,584,734,79,190,1083,6706,1668,2360
BCW3_2,615,5141,958,628,822,625,392,27,1649,7511,37,1595
BCW3_3,44,4518,1603,735,721,439,365,328,823,9661,12,751
BCW4_1,87,2489,2521,745,948,49,1264,544,927,8827,361,1238
BCW4_2,1355,2389,2079,939,737,188,295,531,1138,8784,268,1297
BCW4_3,44,4340,1624,1096,215,255,67,133,1170,10229,10,817
Burnt1_1,15,5846,2849,763,820,310,55,209,1395,6407,162,1169
Burnt1_2,4,4670,2171,1235,1082,87,82,291,1309,8002,44,1023
Burnt1_3,12,4577,3502,412,545,172,100,307,1322,7988,197,866
Burnt2_1,4,4796,2742,650,1533,518,72,204,1643,6514,324,1000
Burnt2_2,41,2450,2992,1781,1608,140,99,334,1374,7651,341,1189
Burnt2_3,7,5171,2668,875,1632,172,55,243,1495,6307,392,983
Burnt3_1,25,4374,2929,1026,1029,228,63,353,1258,7739,85,891
Burnt3_2,3,6162,1848,683,1074,217,64,107,1520,7520,62,740
Burnt3_3,7,5767,1588,849,2062,158,259,212,1602,6496,36,964
Burnt4_1,12,4312,1508,1104,5063,148,102,177,1009,5085,66,1414
Burnt4_2,5,6434,1558,654,1298,271,70,105,1887,6768,21,929
Burnt4_3,22,5422,2025,770,1556,277,127,81,1389,6929,50,1352
