C,H,N,S,O
55.4289 ,2.9960 ,0.5938 ,0.1737 ,40.8076 
53.5205 ,2.8387 ,1.3393 ,0.1376 ,42.1639 
52.4191 ,2.7484 ,1.0524 ,0.1044 ,43.6757 
63.0155 ,2.6985 ,1.1359 ,0.0995 ,33.0506 
77.5015 ,1.9475 ,0.7818 ,0.0859 ,19.6833 
65.2029 ,2.6664 ,0.8862 ,0.0860 ,31.1584 
62.1192 ,2.2241 ,0.6750 ,0.0699 ,34.9119 
37.6091 ,2.5448 ,0.7075 ,0.0647 ,59.0740 
39.0805 ,2.3263 ,0.6748 ,0.0606 ,57.8577 
60.3592 ,2.9318 ,0.8276 ,0.0614 ,35.8200 
43.1603 ,2.8997 ,0.9423 ,0.0548 ,52.9429 
57.7820 ,2.8961 ,1.2847 ,0.0816 ,37.9556 
