#OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,BCU1_2,BCU1_3,BCU2_1,BCU2_2,BCU3_1,BCU3_3,BCU4_1,BCU4_2,BCU4_3,BCW1_1,BCW1_2,BCW1_3,BCW2_1,BCW2_2,BCW2_3,BCW3_1,BCW3_2,BCW3_3,BCW4_1,BCW4_2,BCW4_3,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3,S4_1,S4_2,S4_3,SCK_1,SCK_2,SCK_3,taxonomy
OTU1,222,7,231,0,0,0,0,0,0,0,0,0,193,1626,2162,2741,1686,135,450,67,128,785,263,1018,1372,2367,1662,1476,80,265,572,214,34,188,131,462,475,1078,350,549,35,20,32,6,33,54,2,67,Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Pseudarthrobacter
OTU10,29,17,11,21,13,4,6,3,2,1,7,1,304,571,449,945,221,291,607,140,529,1081,207,317,452,596,572,517,203,1033,166,535,40,69,124,85,99,172,93,83,89,31,88,16,59,18,24,18,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Glaciimonas
OTU100,21,24,23,100,43,9,47,53,11,44,8,28,2,1,3,0,13,59,0,11,3,4,0,3,1,0,12,5,5,3,3,0,1,36,18,18,71,18,73,57,84,138,28,93,35,37,18,24,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;JADL_g
OTU1000,1,4,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,8,0,6,10,1,0,4,0,0,0,0,8,0,0,0,63,3,0,6,0,0,1,2,2,3,0,3,4,2,7,0,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;AB286332_g
OTU1001,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,1,8,14,0,0,4,22,6,1,0,2,2,0,0,8,7,0,12,24,12,3,3,7,4,2,2,5,0,0,0,0,0,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Anaeromyxobacteraceae;EU335298_g
OTU1002,0,47,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,67,0,Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;FJ479101_g
OTU1003,0,19,1,17,4,6,16,36,1,20,27,13,1,0,0,0,1,3,0,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,3,0,3,3,10,0,4,6,0,29,1,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Gemmata_f;GQ339148_g
OTU1004,2,0,3,0,0,1,0,2,0,0,0,0,7,6,6,14,13,6,1,0,0,0,4,8,1,22,10,7,0,41,6,1,0,0,0,5,5,6,3,8,2,3,0,0,0,2,1,3,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Pseudolabrys
OTU1005,1,0,0,0,0,0,0,0,0,0,0,0,7,25,4,2,4,3,1,1,4,6,3,35,1,1,13,5,4,4,3,1,0,1,2,5,1,5,4,4,1,0,0,1,1,0,1,0,Bacteria;Cyanobacteria;JF417809_c;JF417809_o;JF417809_f;JF417809_g
OTU1006,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,0,0,0,0,0,0,0,0,5,6,2,0,4,0,0,0,2,0,4,1,5,1,5,0,0,0,0,0,1,0,0,Bacteria;Chloroflexi;HM748667_c;HM748667_o;AB257647_f;AB257647_g
OTU1007,20,6,15,2,4,1,0,1,0,0,2,1,20,32,26,30,34,30,22,12,3,12,25,17,6,10,22,44,17,37,60,5,7,2,31,19,12,30,10,18,16,11,9,10,2,11,3,9,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae
OTU1008,6,6,3,22,11,16,26,7,7,28,14,28,7,2,1,0,2,7,0,1,1,5,7,2,0,2,1,0,0,0,1,1,1,21,12,3,13,4,4,2,8,8,7,14,2,3,7,8,Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;KB906767_g
OTU1009,1,17,8,16,23,13,15,18,5,25,11,14,22,4,0,0,1,16,0,5,2,4,10,3,0,2,2,3,11,5,4,1,8,14,17,7,14,8,14,2,14,8,5,9,4,6,24,8,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisphaera
OTU101,21,42,17,234,297,201,268,137,272,232,179,182,20,1,1,1,5,5,1,16,3,2,5,0,0,2,4,3,6,4,6,1,4,42,24,42,22,2,42,36,69,12,9,45,23,13,39,14,Bacteria;Acidobacteria;Solibacteres;EU445199_o;EU445199_f;DQ451510_g
OTU1010,2,2,2,0,0,0,0,3,0,0,2,0,5,3,0,0,1,12,0,2,0,0,1,3,0,0,0,0,0,3,1,0,1,0,9,28,0,3,3,1,2,3,1,2,1,0,1,3,Bacteria;Chloroflexi;Anaerolineae;Anaerolinaeles;DQ404819_f;DQ404819_g
OTU1011,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,30,17,0,0,0,0,0,0,0,1,19,2,5,0,3,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,1,0,0,Bacteria;Chloroflexi;HQ674362_c;EF516466_o;EF516466_f;EF516466_g
OTU1012,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,14,65,0,1,0,0,0,0,0,0,1,2,2,1,9,0,5,4,1,1,2,1,2,15,6,34,0,1,2,0,0,Bacteria;Planctomycetes;DQ228400_c;DQ228400_o;DQ228400_f;DQ228400_g
OTU1013,0,6,5,8,14,10,1,15,4,7,2,1,22,8,2,8,5,1,1,15,7,3,7,12,1,9,5,8,11,40,4,15,32,5,13,9,4,15,6,3,34,3,5,2,5,5,4,5,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Reyranella
OTU1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,1,0,0,0,0,0,0,2,3,34,0,0,0,0,10,0,0,0,0,0,9,9,2,0,0,2,0,0,0,0,0,0,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;FN554387_g
OTU1015,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,3,0,46,0,0,0,0,1,1,0,2,1,1,1,3,1,0,13,13,0,12,0,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Gemmata_f
OTU1016,0,5,0,1,1,4,1,1,2,2,8,4,0,0,0,3,14,1,0,0,2,0,0,0,0,0,2,16,1,1,0,0,0,1,3,1,4,0,3,7,9,2,2,10,6,0,2,1,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Gemmata_f;Gemmata
OTU1017,0,2,0,1,1,0,0,0,1,2,2,1,1,0,0,0,1,0,1,1,18,0,0,0,0,0,0,0,6,0,0,0,1,0,2,0,1,1,0,0,1,3,0,9,22,0,4,0,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;JADL_g
OTU1018,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,1,0,0,1,0,7,0,12,0,12,0,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Gemmata_f;EF494332_g
