#OTU ID,Domain,Phylum,Class,Order,Family,Genus,Species
OTU1,Bacteria,Actinobacteria,Actinobacteria_c,Micrococcales,Micrococcaceae,Pseudarthrobacter,
OTU10,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Glaciimonas,
OTU100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,JADL_g,
OTU1000,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,AB286332_g,
OTU1001,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,EU335298_g,
OTU1002,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,FJ479101_g,
OTU1003,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,GQ339148_g,
OTU1004,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Pseudolabrys,
OTU1005,Bacteria,Cyanobacteria,JF417809_c,JF417809_o,JF417809_f,JF417809_g,
OTU1006,Bacteria,Chloroflexi,HM748667_c,HM748667_o,AB257647_f,AB257647_g,
OTU1007,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,,
OTU1008,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,KB906767_g,
OTU1009,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisphaera,
OTU101,Bacteria,Acidobacteria,Solibacteres,EU445199_o,EU445199_f,DQ451510_g,
OTU1010,Bacteria,Chloroflexi,Anaerolineae,Anaerolinaeles,DQ404819_f,DQ404819_g,
OTU1011,Bacteria,Chloroflexi,HQ674362_c,EF516466_o,EF516466_f,EF516466_g,
OTU1012,Bacteria,Planctomycetes,DQ228400_c,DQ228400_o,DQ228400_f,DQ228400_g,
OTU1013,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Reyranella,
OTU1014,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,FN554387_g,
OTU1015,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,,
OTU1016,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,Gemmata,
OTU1017,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,JADL_g,
OTU1018,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,EF494332_g,
