#OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,BCU1_2,BCU1_3,BCU2_1,BCU2_2,BCU3_1,BCU3_3,BCU4_1,BCU4_2,BCU4_3,BCW1_1,BCW1_2,BCW1_3,BCW2_1,BCW2_2,BCW2_3,BCW3_1,BCW3_2,BCW3_3,BCW4_1,BCW4_2,BCW4_3,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3,S4_1,S4_2,S4_3,SCK_1,SCK_2,SCK_3
OTU1,202,4,226,0,0,0,0,0,0,0,0,0,143,1271,1795,2424,1384,71,301,64,121,521,235,863,841,1695,1116,1073,46,220,422,165,31,155,85,356,274,831,218,476,23,11,23,4,27,49,2,56
OTU10,29,9,10,12,6,2,3,3,0,1,5,0,223,457,357,826,187,174,431,129,509,700,184,264,288,432,398,361,128,854,126,463,36,58,92,70,63,133,63,70,55,22,62,11,47,16,19,17
OTU100,21,17,21,56,26,8,31,35,7,26,6,15,2,1,2,0,9,28,0,8,2,4,0,0,1,0,7,3,1,1,2,0,1,26,13,15,45,15,47,48,63,102,20,64,26,35,13,21
OTU1000,1,4,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,3,0,5,10,1,0,4,0,0,0,0,5,0,0,0,45,3,0,5,0,0,1,2,1,2,0,2,4,2,5,0
OTU1001,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,1,5,9,0,0,3,21,6,1,0,0,2,0,0,7,6,0,11,15,12,1,3,5,4,1,1,3,0,0,0,0,0
OTU1002,0,38,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,49,0
OTU1003,0,16,0,9,3,4,6,23,1,13,18,10,0,0,0,0,0,1,0,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,3,0,2,1,5,0,4,3,0,19,1
OTU1004,2,0,3,0,0,0,0,2,0,0,0,0,5,6,5,14,10,4,1,0,0,0,4,6,0,16,6,5,0,35,1,1,0,0,0,5,3,4,2,7,1,2,0,0,0,2,1,2
OTU1005,1,0,0,0,0,0,0,0,0,0,0,0,5,20,3,2,4,2,1,1,4,2,2,31,1,1,9,3,1,4,2,1,0,1,1,4,1,4,2,3,1,0,0,0,1,0,1,0
OTU1006,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0,0,0,0,3,3,2,0,3,0,0,0,2,0,3,1,5,1,3,0,0,0,0,0,1,0,0
OTU1007,18,3,14,1,2,1,0,0,0,0,1,1,13,25,23,24,29,19,13,12,3,9,25,12,2,7,15,30,8,29,45,5,6,2,25,17,8,22,4,15,10,8,7,9,2,10,3,7
OTU1008,5,5,3,15,5,9,16,6,3,19,11,19,3,2,1,0,2,4,0,1,1,2,7,2,0,1,0,0,0,0,1,1,1,16,10,2,8,3,2,2,5,6,5,10,2,3,6,6
OTU1009,1,11,8,8,12,9,10,9,4,18,9,9,16,2,0,0,0,9,0,5,2,1,10,3,0,1,1,1,8,3,3,1,6,13,11,6,12,5,9,1,7,5,4,7,3,5,15,5
OTU101,17,30,16,126,158,148,154,88,170,148,118,118,17,1,1,1,4,3,0,14,3,1,4,0,0,2,2,3,5,4,3,1,3,36,18,35,12,2,28,30,47,7,8,36,17,12,26,11
OTU1010,1,1,2,0,0,0,0,2,0,0,2,0,5,2,0,0,1,7,0,2,0,0,1,2,0,0,0,0,0,3,0,0,1,0,5,21,0,1,3,1,2,2,1,1,1,0,0,3
OTU1011,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,27,15,0,0,0,0,0,0,0,0,12,1,4,0,3,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0
OTU1012,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,5,40,0,1,0,0,0,0,0,0,1,2,2,0,7,0,4,3,1,0,2,0,1,6,4,23,0,1,1,0,0
OTU1013,0,5,5,7,8,5,1,11,2,3,1,1,15,7,2,7,5,1,0,13,5,3,7,9,0,5,4,6,6,32,4,12,23,5,5,8,3,12,3,3,17,3,4,1,4,5,4,2
OTU1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,2,2,25,0,0,0,0,7,0,0,0,0,0,7,5,1,0,0,1,0,0,0,0,0,0
OTU1015,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,2,0,31,0,0,0,0,1,0,0,1,0,0,1,2,1,0,9,10,0,10,0
OTU1016,0,3,0,1,1,2,1,0,1,1,7,0,0,0,0,2,10,1,0,0,2,0,0,0,0,0,2,11,1,1,0,0,0,1,2,1,2,0,2,7,8,2,1,7,3,0,2,0
OTU1017,0,2,0,1,1,0,0,0,1,0,2,0,1,0,0,0,1,0,1,1,17,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,1,0,0,0,1,3,0,7,16,0,3,0
OTU1018,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,10,0,9,0
OTU1019,6,0,8,0,1,0,1,1,0,0,0,0,0,7,0,1,1,0,0,1,0,0,11,27,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,13,0,17
OTU102,21,3,27,6,1,0,0,7,0,0,0,0,37,55,24,101,45,154,193,17,0,24,43,41,8,28,129,36,0,27,187,73,4,34,21,57,26,61,44,31,8,40,24,5,2,39,4,36
OTU1020,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,32
OTU1021,21,0,21,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,18
OTU1022,43,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,35
OTU1023,25,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13
OTU1024,0,0,0,45,6,1,2,5,1,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU1025,0,1,0,25,9,1,2,5,3,4,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,3,0
OTU1026,0,0,0,3,11,25,15,6,13,3,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
OTU1027,6,7,3,32,29,5,24,27,20,5,12,6,4,0,3,0,0,4,0,4,4,0,2,0,1,0,1,0,5,1,0,1,2,8,11,0,15,1,6,12,21,6,1,16,11,4,18,4
OTU1028,0,0,0,7,18,30,41,13,27,8,13,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,4,0,0,0,0,1,3,0
OTU1029,0,2,0,16,10,3,4,11,5,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,1,0,3,2,0,1,0
OTU103,25,22,16,9,10,4,6,9,1,1,0,0,43,66,50,101,82,60,118,36,33,22,43,93,29,103,58,45,21,46,62,68,45,24,47,82,27,89,32,64,29,23,25,11,14,20,18,39
OTU1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,29,0,0,0,0,0,0,0,1,1,0,13,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
OTU1031,2,71,1,13,16,19,12,25,16,45,48,36,3,12,11,1,5,5,0,3,8,4,1,7,0,0,5,1,3,0,0,3,3,26,3,35,55,11,18,19,15,15,4,8,23,2,114,3
OTU1032,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,2,0,1,19,1,0,0,0,0,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,3,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1
OTU1034,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
OTU1035,10,0,11,12,2,4,7,4,1,2,0,1,4,0,0,0,0,3,0,0,0,2,13,1,0,0,2,0,0,1,0,0,0,9,1,6,3,2,7,3,10,11,1,2,2,3,0,2
OTU1036,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,34,5,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,5,4,0,0,13,0,1,0,0,0,2,0,0
OTU1037,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,9,0,8,0,0,0,0,0,22,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0
OTU1038,3,4,2,0,0,0,0,1,0,0,0,0,2,0,0,0,2,4,0,7,35,0,0,0,0,0,2,2,15,2,0,2,1,6,0,1,1,0,4,1,1,3,3,9,14,3,4,1
OTU1039,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
OTU104,3,0,4,0,0,1,0,0,0,0,0,0,35,19,135,16,57,19,24,64,3,91,2,26,174,4,43,36,3,3,7,36,47,45,16,34,23,39,55,20,6,5,14,7,6,6,0,0
OTU1040,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,0,2,4,3,0,1,0,0,0,1,1,1,0,0,1,2,1,0,2,0,2,0,1,3,4,1,4,0,4,1
OTU1041,0,27,0,0,1,2,12,2,1,0,5,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,2,0,0,1,1,0,10,0
OTU1042,1,0,1,0,1,3,0,4,0,0,0,0,6,0,1,1,0,0,14,5,3,0,5,0,0,0,0,0,14,7,2,11,3,0,1,0,1,2,0,1,0,2,5,0,0,1,1,0
OTU1043,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,16,3,2,17,6,2,0,0
OTU1044,9,2,9,8,8,6,13,13,7,3,1,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,1,0,0,2,0,5,2,8
OTU1045,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,8,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,4,2,0,0,16,24,0,4,0
OTU1046,0,0,1,3,0,0,0,1,0,0,0,0,7,1,2,1,0,2,0,7,0,1,6,0,0,0,0,1,0,8,0,1,6,7,5,2,4,2,0,1,4,6,10,4,2,1,0,1
OTU1047,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,5,0,0,1,10,1,0,2,1,4,0,0,2,9,0,1,4,0,1,2,0,2,0,2,0,0,0,0,0,0
OTU1048,2,0,0,0,0,0,0,0,0,0,0,0,4,2,5,4,0,2,1,0,0,17,14,12,6,2,7,2,0,2,0,1,9,3,0,1,6,1,4,0,0,0,0,0,0,2,0,0
OTU1049,2,3,2,23,12,8,3,15,5,23,4,17,3,0,6,0,1,1,2,1,1,13,2,4,60,0,8,1,0,0,1,2,2,6,6,11,7,0,1,2,5,1,2,0,1,4,4,3
